database,table,columns
REGULADOS,T_DETALLE_LN_202408_ENVIO_OSIPTEL_NUEVA_VERSION,47
REGULADOS,T_DETALLE_LN_202409_ENVIO_OSIPTEL_NUEVA_VERSION,47
REGULADOS,T_DETALLE_LN_202410_ENVIO_OSIPTEL_NUEVA_VERSION,47
REGULADOS,T_DETALLE_LN_202411_ENVIO_OSIPTEL,46
REGULADOS,T_DETALLE_LN_202411_ENVIO_OSIPTEL_NUEVA_VERSION,47
REGULADOS,T_LISTADO_DNIS,5
REGULADOS,T_LISTADO_IVR,2
REGULADOS,T_LISTADO_IVR_VAL,2
REGULADOS,T_LISTADO_IVR_VAL_2,2
REGULADOS,T_REGULADOS_STAR_GLOBAL_201909,18
REGULADOS,T_REGULADOS_STAR_GLOBAL_201910,18
REGULADOS,T_REGULADOS_STAR_GLOBAL_201911,18
REGULADOS,T_REGULADOS_STAR_GLOBAL_201912,18
REGULADOS,T_REGULADOS_STAR_GLOBAL_202001,18
REGULADOS,T_REGULADOS_STAR_GLOBAL_202002,18
REGULADOS,T_REGULADOS_STAR_GLOBAL_202003,18
REGULADOS,T_REGULADOS_STAR_GLOBAL_202004,18
REGULADOS,T_REGULADOS_STAR_GLOBAL_202005,18
REGULADOS,T_REGULADOS_STAR_GLOBAL_202006,18
REGULADOS,T_REGULADOS_STAR_GLOBAL_202007,18
REGULADOS,T_REGULADOS_STAR_GLOBAL_202008,18
REGULADOS,T_REGULADOS_STAR_GLOBAL_202009,18
REGULADOS,T_REGULADOS_STAR_GLOBAL_202010,18
REGULADOS,T_REGULADOS_STAR_GLOBAL_202011,18
REGULADOS,T_REGULADOS_STAR_GLOBAL_202012,18
REGULADOS,T_REGULADOS_STAR_GLOBAL_202101,18
REGULADOS,T_REGULATORIO_LENGUAJE_NATURAL_202301,8
REGULADOS,T_REGULATORIO_LENGUAJE_NATURAL_202302,8
REGULADOS,T_REGULATORIO_LENGUAJE_NATURAL_202303,8
REGULADOS,T_REGULATORIO_LENGUAJE_NATURAL_202304,8
REGULADOS,T_REGULATORIO_LENGUAJE_NATURAL_202305,8
REGULADOS,T_REGULATORIO_LENGUAJE_NATURAL_202306,8
REGULADOS,T_REGULATORIO_LENGUAJE_NATURAL_202307,8
REGULADOS,T_REGULATORIO_LENGUAJE_NATURAL_202308,8
REGULADOS,T_REGULATORIO_LENGUAJE_NATURAL_202309,8
REGULADOS,T_REGULATORIO_LENGUAJE_NATURAL_202310,8
REGULADOS,T_REGULATORIO_LENGUAJE_NATURAL_202311,8
REGULADOS,T_REGULATORIO_LENGUAJE_NATURAL_202312,8
REGULADOS,T_REGULATORIO_LENGUAJE_NATURAL_202401,8
