table,columns
NO_BORRAR_piloto_capta_fija_mt,1
NO_BORRAR_piloto_capta_movil_mt,1
NO_BORRAR_tramitadores_a_retirar,1
NUEVA_SEGMENTACION_202307,5
NUEVA_SEGMENTACION_202308,5
PAGOS_FICTICIOS_CAMP_20_SOLES,17
PERFIL_TRANSFERENCIA_20250507,5
PILOTO_RENTESEG_20K_20231130,2
PILOTO_RENTESEG_50K_20231206,1
PLANTA_FIJA_B2B,8
PLANTA_MT_1,1
PLANTA_MT_20230816,7
PLANTA_PRIORIDAD_202405,6
PLANTA_RICHI_FACT,6
PORTADOS_CLARO_20210813,1
Pedido_Graylist_Comunicacion_20220610,45
Planta_CMS,6
Planta_HFC_202202,17
Planta_MT_Ago24,5
Planta_MT_MargenAlto_FTTH_120824,12
Planta_MT_MargenAlto_FTTH_120824_V2,13
Potencial_DIVICAUS_MxA_20231005,7
Q_canales_MT_movil_10k,17
RA_DET_PLANTA_POSTPAGO_FACT,12
RA_DET_PLANTA_POSTPAGO_FACT_SEG,13
RA_DET_PLANTA_POSTPAGO_FACT_SEG_2,15
RA_LLAM_ENT_CC_ULTIMO_MES,9
RA_NO_RECARGADORES_30_120_DIAS,7
RA_NO_RECARGADORES_30_120_DIAS_ANTERIOR,4
RA_PLANTA_PREPAGO_RECARGADORA_PROM3M,10
RA_PLANTA_PREPAGO_RECARGADORA_PROM3M_SEG,10
RA_PLANTA_PREPAGO_RECARGADORA_ULT3M,5
RA_REITERADAS_FIJA_MAS_DE_2_ULT24HORAS,2
RA_REITERADAS_MAS_DE_2_ULT24HORAS,2
RA_TELEF_UNICOS_LOGIN_APP_MIMOV,3
